Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Quartile Range
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Maryland,Maryland,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,42.4,38.3,46.7,38.3 - 46.7,40.3-49.1
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Massachusetts,Massachusetts,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,43.3,40.8,45.8,40.8 - 45.8,40.3-49.1
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Michigan,Michigan,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,40.2,36.7,43.9,36.7 - 43.9,37.3-40.2
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Minnesota,Minnesota,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,37.5,34.3,40.9,34.3 - 40.9,37.3-40.2
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Mississippi,Mississippi,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,36.2,31.8,40.7,31.8 - 40.7,35.5-37.2
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Missouri,Missouri,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,35.8,32.6,39.0,32.6 - 39.0,35.5-37.2
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Montana,Montana,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,32.3,28.7,36.0,28.7 - 36.0,27.0-35.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Nebraska,Nebraska,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,33.6,29.8,37.5,29.8 - 37.5,27.0-35.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Nevada,Nevada,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,39.6,36.6,42.6,36.6 - 42.6,37.3-40.2
"Delayed or Did Not Get Care, Last 4 Weeks",By State,New Hampshire,New Hampshire,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,35.4,30.9,40.1,30.9 - 40.1,27.0-35.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,New Jersey,New Jersey,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,40.1,37.0,43.3,37.0 - 43.3,37.3-40.2
"Delayed or Did Not Get Care, Last 4 Weeks",By State,New Mexico,New Mexico,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,44.1,39.2,49.1,39.2 - 49.1,40.3-49.1
"Delayed or Did Not Get Care, Last 4 Weeks",By State,New York,New York,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,38.9,35.5,42.3,35.5 - 42.3,37.3-40.2
"Delayed or Did Not Get Care, Last 4 Weeks",By State,North Carolina,North Carolina,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,36.0,32.5,39.5,32.5 - 39.5,35.5-37.2
"Delayed or Did Not Get Care, Last 4 Weeks",By State,North Dakota,North Dakota,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,28.7,24.2,33.6,24.2 - 33.6,27.0-35.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Ohio,Ohio,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,35.4,32.0,38.9,32.0 - 38.9,27.0-35.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Oklahoma,Oklahoma,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,36.4,32.6,40.3,32.6 - 40.3,35.5-37.2
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Oregon,Oregon,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,41.8,39.3,44.3,39.3 - 44.3,40.3-49.1
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,37.7,34.7,40.7,34.7 - 40.7,37.3-40.2
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Rhode Island,Rhode Island,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,37.2,32.5,42.2,32.5 - 42.2,35.5-37.2
"Delayed or Did Not Get Care, Last 4 Weeks",By State,South Carolina,South Carolina,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,31.3,28.2,34.7,28.2 - 34.7,27.0-35.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,South Dakota,South Dakota,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,27.0,22.9,31.4,22.9 - 31.4,27.0-35.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Tennessee,Tennessee,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,36.3,33.1,39.5,33.1 - 39.5,35.5-37.2
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Texas,Texas,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,39.8,37.6,42.1,37.6 - 42.1,37.3-40.2
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Utah,Utah,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,32.7,30.0,35.5,30.0 - 35.5,27.0-35.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Vermont,Vermont,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,35.5,30.3,40.9,30.3 - 40.9,35.5-37.2
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Virginia,Virginia,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,38.4,35.1,41.7,35.1 - 41.7,37.3-40.2
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Washington,Washington,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,40.0,37.3,42.8,37.3 - 42.8,37.3-40.2
"Delayed or Did Not Get Care, Last 4 Weeks",By State,West Virginia,West Virginia,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,33.2,28.5,38.2,28.5 - 38.2,27.0-35.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Wisconsin,Wisconsin,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,35.0,31.7,38.5,31.7 - 38.5,27.0-35.4
"Delayed or Did Not Get Care, Last 4 Weeks",By State,Wyoming,Wyoming,2,13,Aug 19 - Aug 31,08/19/2020 12:00:00 AM,08/31/2020 12:00:00 AM,31.4,26.8,36.3,26.8 - 36.3,27.0-35.4
"Delayed Medical Care, Last 4 Weeks",National Estimate,United States,United States,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,33.8,33.0,34.6,33.0 - 34.6,
"Delayed Medical Care, Last 4 Weeks",By Age,United States,18 - 29 years,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,33.1,31.4,34.8,31.4 - 34.8,
"Delayed Medical Care, Last 4 Weeks",By Age,United States,30 - 39 years,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,36.9,35.4,38.5,35.4 - 38.5,
"Delayed Medical Care, Last 4 Weeks",By Age,United States,40 - 49 years,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,37.1,35.6,38.5,35.6 - 38.5,
"Delayed Medical Care, Last 4 Weeks",By Age,United States,50 - 59 years,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,34.7,33.2,36.2,33.2 - 36.2,
"Delayed Medical Care, Last 4 Weeks",By Age,United States,60 - 69 years,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,32.5,31.1,33.9,31.1 - 33.9,
"Delayed Medical Care, Last 4 Weeks",By Age,United States,70 - 79 years,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,27.0,25.2,28.9,25.2 - 28.9,
"Delayed Medical Care, Last 4 Weeks",By Age,United States,80 years and above,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,24.5,20.3,29.2,20.3 - 29.2,
"Delayed Medical Care, Last 4 Weeks",By Sex,United States,Male,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,30.2,29.2,31.3,29.2 - 31.3,
"Delayed Medical Care, Last 4 Weeks",By Sex,United States,Female,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,37.1,36.2,38.0,36.2 - 38.0,
"Delayed Medical Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,36.1,34.1,38.2,34.1 - 38.2,
"Delayed Medical Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,33.0,32.1,33.8,32.1 - 33.8,
"Delayed Medical Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,33.0,31.1,34.9,31.1 - 34.9,
"Delayed Medical Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,34.0,31.9,36.2,31.9 - 36.2,
"Delayed Medical Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,40.5,37.1,44.0,37.1 - 44.0,
"Delayed Medical Care, Last 4 Weeks",By Education,United States,Less than a high school diploma,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,30.9,27.1,35.0,27.1 - 35.0,
"Delayed Medical Care, Last 4 Weeks",By Education,United States,High school diploma or GED,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,29.2,27.5,30.9,27.5 - 30.9,
"Delayed Medical Care, Last 4 Weeks",By Education,United States,Some college/Associate's degree,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,36.2,35.2,37.2,35.2 - 37.2,
"Delayed Medical Care, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,36.4,35.8,36.9,35.8 - 36.9,
"Delayed Medical Care, Last 4 Weeks",By State,Alabama,Alabama,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,32.4,28.6,36.5,28.6 - 36.5,30.5-32.4
"Delayed Medical Care, Last 4 Weeks",By State,Alaska,Alaska,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,32.3,29.6,35.0,29.6 - 35.0,30.5-32.4
"Delayed Medical Care, Last 4 Weeks",By State,Arizona,Arizona,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,35.8,32.7,39.0,32.7 - 39.0,35.5-45.3
"Delayed Medical Care, Last 4 Weeks",By State,Arkansas,Arkansas,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,28.7,24.9,32.7,24.9 - 32.7,23.3-30.4
"Delayed Medical Care, Last 4 Weeks",By State,California,California,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,40.0,37.4,42.6,37.4 - 42.6,35.5-45.3
"Delayed Medical Care, Last 4 Weeks",By State,Colorado,Colorado,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,32.2,28.9,35.5,28.9 - 35.5,30.5-32.4
"Delayed Medical Care, Last 4 Weeks",By State,Connecticut,Connecticut,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,32.2,29.1,35.5,29.1 - 35.5,30.5-32.4
"Delayed Medical Care, Last 4 Weeks",By State,Delaware,Delaware,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,34.2,29.2,39.4,29.2 - 39.4,32.5-35.4
"Delayed Medical Care, Last 4 Weeks",By State,District of Columbia,District of Columbia,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,45.3,38.8,51.8,38.8 - 51.8,35.5-45.3
"Delayed Medical Care, Last 4 Weeks",By State,Florida,Florida,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,31.9,29.0,34.9,29.0 - 34.9,30.5-32.4
"Delayed Medical Care, Last 4 Weeks",By State,Georgia,Georgia,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,32.4,29.4,35.5,29.4 - 35.5,30.5-32.4
"Delayed Medical Care, Last 4 Weeks",By State,Hawaii,Hawaii,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,36.9,31.7,42.3,31.7 - 42.3,35.5-45.3
"Delayed Medical Care, Last 4 Weeks",By State,Idaho,Idaho,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,32.0,27.6,36.7,27.6 - 36.7,30.5-32.4
"Delayed Medical Care, Last 4 Weeks",By State,Illinois,Illinois,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,33.0,29.8,36.3,29.8 - 36.3,32.5-35.4
"Delayed Medical Care, Last 4 Weeks",By State,Indiana,Indiana,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,31.8,29.4,34.3,29.4 - 34.3,30.5-32.4
"Delayed Medical Care, Last 4 Weeks",By State,Iowa,Iowa,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,29.5,26.2,33.0,26.2 - 33.0,23.3-30.4
"Delayed Medical Care, Last 4 Weeks",By State,Kansas,Kansas,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,28.2,24.8,31.8,24.8 - 31.8,23.3-30.4
"Delayed Medical Care, Last 4 Weeks",By State,Kentucky,Kentucky,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,33.1,29.7,36.7,29.7 - 36.7,32.5-35.4
"Delayed Medical Care, Last 4 Weeks",By State,Louisiana,Louisiana,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,34.4,29.9,39.2,29.9 - 39.2,32.5-35.4
"Delayed Medical Care, Last 4 Weeks",By State,Maine,Maine,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,33.4,28.2,38.8,28.2 - 38.8,32.5-35.4
"Delayed Medical Care, Last 4 Weeks",By State,Maryland,Maryland,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,36.1,33.1,39.2,33.1 - 39.2,35.5-45.3
"Delayed Medical Care, Last 4 Weeks",By State,Massachusetts,Massachusetts,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,36.5,33.2,39.9,33.2 - 39.9,35.5-45.3
"Delayed Medical Care, Last 4 Weeks",By State,Michigan,Michigan,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,34.6,31.1,38.1,31.1 - 38.1,32.5-35.4
"Delayed Medical Care, Last 4 Weeks",By State,Minnesota,Minnesota,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,30.9,28.3,33.6,28.3 - 33.6,30.5-32.4
"Delayed Medical Care, Last 4 Weeks",By State,Mississippi,Mississippi,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,33.8,29.6,38.1,29.6 - 38.1,32.5-35.4
"Delayed Medical Care, Last 4 Weeks",By State,Missouri,Missouri,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,31.3,27.9,34.8,27.9 - 34.8,30.5-32.4
"Delayed Medical Care, Last 4 Weeks",By State,Montana,Montana,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,31.0,26.5,35.8,26.5 - 35.8,30.5-32.4
"Delayed Medical Care, Last 4 Weeks",By State,Nebraska,Nebraska,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,28.0,25.0,31.3,25.0 - 31.3,23.3-30.4
"Delayed Medical Care, Last 4 Weeks",By State,Nevada,Nevada,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,31.7,28.6,34.9,28.6 - 34.9,30.5-32.4
"Delayed Medical Care, Last 4 Weeks",By State,New Hampshire,New Hampshire,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,36.1,33.0,39.3,33.0 - 39.3,35.5-45.3
"Delayed Medical Care, Last 4 Weeks",By State,New Jersey,New Jersey,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,35.4,31.9,39.0,31.9 - 39.0,32.5-35.4
"Delayed Medical Care, Last 4 Weeks",By State,New Mexico,New Mexico,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,36.2,32.2,40.2,32.2 - 40.2,35.5-45.3
"Delayed Medical Care, Last 4 Weeks",By State,New York,New York,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,34.5,31.4,37.7,31.4 - 37.7,32.5-35.4
"Delayed Medical Care, Last 4 Weeks",By State,North Carolina,North Carolina,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,30.4,27.4,33.6,27.4 - 33.6,23.3-30.4
"Delayed Medical Care, Last 4 Weeks",By State,North Dakota,North Dakota,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,23.3,19.3,27.7,19.3 - 27.7,23.3-30.4
"Delayed Medical Care, Last 4 Weeks",By State,Ohio,Ohio,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,29.4,25.4,33.6,25.4 - 33.6,23.3-30.4
"Delayed Medical Care, Last 4 Weeks",By State,Oklahoma,Oklahoma,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,29.2,25.5,33.2,25.5 - 33.2,23.3-30.4
"Delayed Medical Care, Last 4 Weeks",By State,Oregon,Oregon,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,40.7,38.0,43.4,38.0 - 43.4,35.5-45.3
"Delayed Medical Care, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,32.9,30.1,35.8,30.1 - 35.8,32.5-35.4
"Delayed Medical Care, Last 4 Weeks",By State,Rhode Island,Rhode Island,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,35.8,31.7,40.1,31.7 - 40.1,35.5-45.3
"Delayed Medical Care, Last 4 Weeks",By State,South Carolina,South Carolina,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,33.4,29.3,37.6,29.3 - 37.6,32.5-35.4
"Delayed Medical Care, Last 4 Weeks",By State,South Dakota,South Dakota,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,23.9,20.6,27.4,20.6 - 27.4,23.3-30.4
"Delayed Medical Care, Last 4 Weeks",By State,Tennessee,Tennessee,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,29.3,26.4,32.4,26.4 - 32.4,23.3-30.4
"Delayed Medical Care, Last 4 Weeks",By State,Texas,Texas,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,33.7,30.9,36.5,30.9 - 36.5,32.5-35.4
"Delayed Medical Care, Last 4 Weeks",By State,Utah,Utah,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,28.8,25.9,31.9,25.9 - 31.9,23.3-30.4
"Delayed Medical Care, Last 4 Weeks",By State,Vermont,Vermont,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,31.3,27.4,35.4,27.4 - 35.4,30.5-32.4
"Delayed Medical Care, Last 4 Weeks",By State,Virginia,Virginia,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,37.0,34.0,40.1,34.0 - 40.1,35.5-45.3
"Delayed Medical Care, Last 4 Weeks",By State,Washington,Washington,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,36.3,33.9,38.7,33.9 - 38.7,35.5-45.3
"Delayed Medical Care, Last 4 Weeks",By State,West Virginia,West Virginia,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,31.9,27.6,36.5,27.6 - 36.5,30.5-32.4
"Delayed Medical Care, Last 4 Weeks",By State,Wisconsin,Wisconsin,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,28.3,25.2,31.4,25.2 - 31.4,23.3-30.4
"Delayed Medical Care, Last 4 Weeks",By State,Wyoming,Wyoming,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,26.4,22.5,30.5,22.5 - 30.5,23.3-30.4
"Did Not Get Needed Care, Last 4 Weeks",National Estimate,United States,United States,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,24.7,24.1,25.3,24.1 - 25.3,
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,18 - 29 years,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,21.7,20.2,23.3,20.2 - 23.3,
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,30 - 39 years,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,26.7,25.4,28.0,25.4 - 28.0,
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,40 - 49 years,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,28.4,27.1,29.9,27.1 - 29.9,
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,50 - 59 years,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,26.6,25.3,27.8,25.3 - 27.8,
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,60 - 69 years,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,23.8,22.5,25.2,22.5 - 25.2,
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,70 - 79 years,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,19.6,18.2,21.1,18.2 - 21.1,
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,80 years and above,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,18.6,14.8,22.8,14.8 - 22.8,
"Did Not Get Needed Care, Last 4 Weeks",By Sex,United States,Male,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,22.2,21.4,23.1,21.4 - 23.1,
"Did Not Get Needed Care, Last 4 Weeks",By Sex,United States,Female,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,27.0,26.2,27.8,26.2 - 27.8,
"Did Not Get Needed Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,27.6,25.3,29.9,25.3 - 29.9,
"Did Not Get Needed Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,23.4,22.7,24.0,22.7 - 24.0,
"Did Not Get Needed Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,26.7,24.8,28.6,24.8 - 28.6,
"Did Not Get Needed Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,21.9,20.0,23.9,20.0 - 23.9,
"Did Not Get Needed Care, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,34.0,30.9,37.3,30.9 - 37.3,
"Did Not Get Needed Care, Last 4 Weeks",By Education,United States,Less than a high school diploma,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,26.5,22.9,30.4,22.9 - 30.4,
"Did Not Get Needed Care, Last 4 Weeks",By Education,United States,High school diploma or GED,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,22.4,21.0,23.9,21.0 - 23.9,
"Did Not Get Needed Care, Last 4 Weeks",By Education,United States,Some college/Associate's degree,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,27.3,26.5,28.2,26.5 - 28.2,
"Did Not Get Needed Care, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,23.9,23.3,24.4,23.3 - 24.4,
"Did Not Get Needed Care, Last 4 Weeks",By State,Alabama,Alabama,2,14,Sep 2 - Sep 14,09/02/2020 12:00:00 AM,09/14/2020 12:00:00 AM,25.4,22.3,28.8,22.3 - 28.8,24.5-25.8
